Customer ID,Age,Region,Subscription,Tenure,Monthly Revenue,Total Revenue,Usage,Sessions,Support Tickets,Payment Method,Churn
C00069,65,East,Plus,6,91.13,546.81,76.2,17,0,Bank,No
C00070,34,North,Basic,34,40.59,1380.06,66.2,14,3,Bank,No
C00071,27,West,Plus,58,68.65,3981.75,52.9,10,1,Wallet,No
C00072,50,South,Plus,14,90.38,1265.36,76.4,12,2,Card,No
C00073,74,North,Plus,34,59.39,2019.15,52.9,12,1,Bank,Yes
C00074,28,South,Plus,10,107.7,1077.02,59.9,9,1,Card,No
C00075,32,West,Premium,50,54.93,2746.63,39.7,16,0,Bank,No
C00076,44,South,Plus,35,77.84,2724.43,46.2,8,1,Bank,No
C00077,29,East,Basic,24,70.35,1688.37,32.4,12,1,Wallet,No
C00078,55,West,Premium,17,89.11,1514.84,62.8,13,0,Bank,No
C00079,32,North,Plus,41,68.99,2828.5,23.8,12,3,Wallet,No
C00080,25,West,Premium,49,78.23,3833.16,59.1,16,1,Card,No
C00081,32,South,Premium,68,79.1,5378.58,41.6,15,0,Card,No
C00082,71,East,Premium,32,66.64,2132.49,66.1,12,0,Card,No
C00083,71,North,Plus,12,97.13,1165.53,58.5,11,4,Bank,No
C00084,46,North,Plus,60,90.96,5457.58,77.8,9,2,Card,No
C00085,40,West,Basic,46,82.78,3808.09,58.2,14,0,Card,No
C00086,64,West,Plus,51,74.24,3786.17,16.7,11,0,Card,No
C00087,29,West,Plus,8,104.91,839.31,43.8,12,3,Wallet,Yes
C00088,55,East,Plus,23,79.1,1819.4,23.9,12,1,Wallet,Yes
C00089,56,South,Premium,56,77.33,4330.62,35.7,6,0,Card,No
C00090,58,North,Basic,60,87.62,5257.04,72.2,9,0,Wallet,No
C00091,30,South,Basic,32,127.41,4077.27,56.5,10,0,Card,No
C00092,58,East,Plus,58,51.49,2986.48,32.4,11,2,Bank,No
C00093,52,South,Basic,61,104.25,6359.03,26.8,9,1,Card,No
C00094,67,South,Basic,28,37.67,1054.78,45.6,11,1,Bank,No
C00095,27,North,Basic,65,90.43,5878.07,23.1,10,4,Wallet,No
C00096,52,South,Premium,21,124.38,2611.92,32.9,13,2,Wallet,No
C00097,65,North,Plus,18,97.22,1749.9,50.6,17,1,Bank,No
C00098,33,North,Basic,50,89.27,4463.28,65.8,7,3,Bank,No
C00099,60,North,Basic,46,70.99,3265.48,56.0,15,2,Wallet,No
C00100,23,East,Plus,11,85.78,943.54,3.8,7,0,Card,No
C00101,58,South,Basic,60,78.7,4721.91,50.5,12,2,Bank,Yes
C00102,52,North,Plus,15,65.35,980.26,46.3,14,1,Card,No
C00103,28,East,Plus,58,77.75,4509.68,52.5,16,0,Wallet,No
C00104,21,North,Basic,1,89.96,89.96,74.1,12,1,Bank,No
C00105,60,North,Plus,58,65.82,3817.54,7.9,17,2,Bank,No
C00106,31,North,Basic,57,64.84,3696.05,34.4,7,2,Bank,Yes
C00107,46,South,Basic,57,50.99,2906.65,55.6,15,2,Card,No
C00108,21,West,Premium,48,94.77,4548.87,16.5,13,0,Card,No
C00109,72,North,Plus,34,98.63,3353.52,71.6,15,2,Wallet,No
C00110,49,South,Premium,51,90.79,4630.37,51.6,5,4,Card,No
C00111,71,North,Basic,20,109.13,2182.59,60.2,9,1,Card,No
C00112,27,South,Basic,57,87.2,4970.21,34.7,10,2,Card,No
C00113,29,East,Plus,41,94.8,3886.81,59.6,7,1,Wallet,No
C00114,52,South,Plus,34,92.6,3148.26,64.2,8,3,Card,No
C00115,52,East,Premium,37,82.71,3060.33,49.2,14,1,Wallet,No
C00116,63,West,Basic,41,71.73,2940.91,49.2,8,1,Bank,No
C00117,70,West,Premium,3,140.35,421.06,49.9,17,0,Wallet,No
C00118,64,East,Premium,11,73.7,810.71,29.5,8,0,Bank,No
C00119,25,East,Plus,18,68.35,1230.36,42.3,15,3,Card,No
C00120,35,West,Basic,9,95.85,862.65,42.3,8,1,Bank,No
C00121,70,West,Plus,32,91.3,2921.48,51.9,17,2,Bank,No
C00122,49,South,Basic,49,49.88,2444.13,63.0,16,1,Card,No
C00123,67,North,Plus,48,113.07,5427.21,25.9,12,1,Bank,No
C00124,50,North,Plus,34,82.65,2809.93,42.7,15,1,Card,Yes
C00125,20,West,Premium,62,57.23,3548.06,71.7,8,1,Wallet,No
C00126,44,East,Plus,41,114.72,4703.5,31.6,12,3,Wallet,No
C00127,65,South,Plus,6,100.64,603.85,30.2,6,0,Card,Yes
C00128,55,South,Plus,56,53.39,2989.64,48.6,17,1,Bank,No
C00129,25,South,Plus,42,129.43,5436.04,60.2,12,2,Bank,No
C00130,29,West,Premium,46,101.47,4667.62,45.2,12,0,Card,No
C00131,66,East,Basic,41,84.75,3474.55,68.9,16,2,Bank,No
C00132,73,West,Premium,40,124.76,4990.22,60.4,4,3,Card,No
C00133,60,South,Premium,7,88.98,622.88,60.2,16,1,Card,No
C00134,23,South,Premium,41,84.3,3456.21,55.0,14,1,Wallet,Yes
C00135,53,North,Plus,58,68.49,3972.56,86.9,10,0,Bank,No
C00136,65,West,Premium,22,99.55,2190.02,41.3,13,7,Wallet,No
C00137,54,East,Basic,44,96.92,4264.26,8.9,5,1,Bank,No
C00138,51,East,Plus,3,85.37,256.1,73.9,13,1,Wallet,Yes
C00139,44,South,Basic,26,65.25,1696.51,36.8,11,0,Wallet,No
C00140,31,South,Basic,32,88.25,2823.94,46.9,13,1,Bank,No
C00141,34,West,Basic,71,83.26,5911.11,68.6,14,0,Bank,No
C00142,60,South,Basic,16,51.66,826.61,16.2,10,2,Bank,No
C00143,21,East,Basic,20,48.2,964.09,22.5,7,0,Wallet,No
C00144,22,North,Premium,30,99.13,2973.87,16.2,13,1,Bank,No
C00145,40,South,Basic,72,20.0,1440.0,30.7,15,1,Bank,No
C00146,62,West,Plus,62,90.14,5588.39,52.9,16,1,Card,No
C00147,55,North,Basic,3,73.05,219.14,54.4,11,2,Wallet,No
C00148,51,North,Plus,17,117.71,2001.0,50.0,12,0,Bank,Yes
C00149,48,West,Plus,60,72.66,4359.8,19.6,5,1,Card,No
C00150,24,South,Basic,5,101.49,507.44,3.4,12,2,Bank,Yes
C00151,36,South,Plus,62,75.08,4654.78,46.0,18,0,Bank,No
C00152,22,East,Premium,21,87.84,1844.72,36.5,19,1,Card,Yes
C00153,61,North,Premium,67,103.42,6929.2,53.3,12,2,Wallet,No
C00154,60,North,Basic,22,73.44,1615.59,57.6,6,1,Wallet,No
C00155,32,North,Plus,32,109.91,3517.24,47.5,16,1,Wallet,No
C00156,34,North,Plus,48,60.16,2887.56,58.7,7,2,Bank,No
C00157,36,North,Basic,10,92.36,923.65,49.1,9,3,Card,No
C00158,68,East,Premium,41,108.07,4430.71,54.5,17,2,Card,No
C00159,45,South,Basic,37,101.5,3755.53,32.3,16,1,Wallet,No
C00160,61,North,Premium,57,132.91,7575.93,41.8,10,0,Card,No
C00161,43,North,Basic,72,65.91,4745.81,48.5,15,1,Wallet,No
C00162,57,South,Basic,48,50.52,2425.02,59.8,12,3,Wallet,No
C00163,48,West,Premium,30,60.14,1804.25,37.9,7,1,Card,No
C00164,33,South,Premium,30,101.51,3045.33,54.4,13,3,Wallet,Yes
C00165,67,North,Premium,31,97.45,3020.89,40.2,11,1,Card,No
C00166,58,North,Premium,59,87.56,5165.83,42.9,7,0,Bank,No
C00167,61,South,Basic,24,56.93,1366.23,59.9,8,1,Bank,No
C00168,72,North,Basic,13,104.17,1354.23,9.1,8,0,Wallet,No
C00169,32,West,Basic,25,54.38,1359.56,21.7,10,0,Bank,No
C00170,23,West,Plus,2,113.97,227.95,18.3,12,2,Wallet,No
C00171,51,South,Basic,8,156.44,1251.49,3.0,18,2,Bank,No
C00172,36,West,Premium,7,94.16,659.13,32.8,8,0,Wallet,Yes
C00173,42,South,Basic,56,99.58,5576.35,58.5,13,4,Wallet,Yes
C00174,31,North,Basic,53,72.68,3851.96,39.9,15,2,Wallet,No
C00175,40,West,Basic,51,39.74,2026.98,48.6,14,3,Bank,No
C00176,40,West,Basic,34,69.93,2377.69,64.6,11,1,Bank,No
C00177,37,South,Basic,52,57.68,2999.24,68.9,15,0,Wallet,No
C00178,60,East,Plus,12,48.82,585.9,43.8,15,1,Wallet,No
C00179,51,North,Basic,65,128.06,8323.83,69.4,9,0,Wallet,No
C00180,45,East,Plus,37,91.82,3397.4,46.7,11,0,Bank,No
C00181,24,East,Premium,68,94.49,6425.47,29.9,8,0,Wallet,No
C00182,50,East,Plus,11,77.27,850.02,34.3,8,3,Wallet,Yes
C00183,27,East,Plus,36,80.68,2904.42,18.4,15,2,Wallet,No
C00184,35,East,Basic,51,109.11,5564.8,29.0,12,3,Card,No
C00185,41,East,Basic,36,84.19,3030.9,38.6,8,0,Bank,No
C00186,26,West,Basic,33,98.27,3242.82,59.5,9,1,Wallet,No
C00187,40,North,Premium,12,80.1,961.2,76.0,11,2,Wallet,No
C00188,33,South,Plus,28,76.45,2140.49,20.1,7,2,Wallet,No
C00189,66,South,Basic,18,49.83,896.89,52.1,17,0,Card,No
C00190,67,East,Plus,22,35.56,782.24,26.3,11,2,Card,No
C00191,18,North,Premium,50,78.46,3923.05,53.5,13,2,Wallet,No
C00192,52,South,Plus,46,86.41,3974.97,42.6,9,1,Wallet,No
C00193,54,West,Plus,44,52.85,2325.26,12.0,10,0,Card,No
C00194,39,North,Premium,27,84.14,2271.73,61.7,10,1,Bank,No
C00195,44,East,Plus,70,86.34,6044.07,34.1,18,2,Wallet,No
C00196,63,East,Plus,7,31.1,217.7,35.4,11,0,Card,No
C00197,39,South,Basic,25,62.12,1553.05,25.7,12,0,Wallet,No
C00198,21,North,Basic,9,95.18,856.63,33.2,14,2,Card,Yes
C00199,39,North,Premium,25,94.68,2366.91,52.7,10,2,Card,No
C00200,32,South,Plus,70,56.16,3931.07,41.6,13,1,Wallet,No
C00201,39,North,Basic,27,88.96,2401.95,50.9,16,0,Bank,No
C00202,31,North,Plus,66,110.56,7296.97,51.5,11,1,Bank,No
C00203,26,North,Basic,36,104.43,3759.37,68.8,22,1,Wallet,No
C00204,74,North,Premium,51,82.62,4213.51,38.8,8,0,Card,No
C00205,25,West,Basic,33,73.3,2418.92,18.4,9,0,Bank,No
C00206,58,East,Premium,20,69.27,1385.33,64.2,14,1,Bank,No
C00207,58,North,Plus,56,96.7,5414.95,39.0,9,0,Wallet,No
C00208,53,East,Basic,70,89.88,6291.43,65.1,22,2,Card,No
C00209,69,North,Basic,19,100.74,1913.97,51.9,13,0,Bank,No
C00210,18,South,Premium,57,88.3,5032.92,42.6,10,1,Bank,No
C00211,35,North,Basic,19,105.47,2003.91,51.3,7,1,Bank,No
C00212,28,North,Basic,52,87.36,4542.97,80.1,12,2,Wallet,No
C00213,50,North,Plus,57,104.62,5963.18,82.4,7,0,Bank,No
C00214,54,South,Basic,33,106.77,3523.43,46.2,10,0,Wallet,No
C00215,69,South,Basic,54,64.89,3503.89,47.9,12,1,Wallet,No
C00216,39,South,Basic,20,39.8,795.93,64.4,15,5,Wallet,No
C00217,31,East,Premium,6,123.59,741.52,29.8,11,1,Wallet,No
C00218,70,East,Basic,7,91.42,639.92,51.0,12,3,Bank,No
C00219,56,East,Basic,33,42.14,1390.55,44.5,11,2,Card,No
C00220,61,East,Basic,65,67.15,4365.04,50.7,10,2,Wallet,No
C00221,43,East,Basic,10,104.3,1042.97,30.0,12,1,Bank,No
C00222,43,South,Basic,33,78.01,2574.27,16.4,7,1,Card,No
C00223,40,North,Basic,51,72.2,3682.12,7.7,10,0,Card,No
C00224,60,South,Basic,15,120.02,1800.33,24.9,10,2,Card,No
C00225,30,North,Basic,52,58.82,3058.53,36.7,9,1,Wallet,No
C00226,73,West,Premium,23,65.05,1496.06,39.7,11,3,Card,Yes
C00227,28,South,Basic,59,90.28,5326.8,79.9,16,1,Wallet,No
C00228,44,West,Basic,42,94.76,3979.98,64.9,13,1,Bank,No
C00229,35,West,Premium,40,97.41,3896.34,27.7,14,2,Card,No
C00230,54,South,Premium,13,107.78,1401.15,51.3,12,1,Bank,No
C00231,56,West,Plus,34,89.96,3058.79,37.7,10,0,Wallet,No
C00232,70,South,Basic,62,97.23,6028.55,39.9,12,0,Wallet,No
C00233,62,North,Basic,2,78.52,157.04,48.3,16,2,Bank,No
C00234,32,North,Basic,55,86.57,4761.21,56.1,10,2,Bank,No
C00235,29,North,Basic,36,87.69,3156.78,38.9,12,4,Card,Yes
C00236,68,West,Basic,52,90.38,4699.63,64.1,9,3,Card,No
C00237,45,South,Plus,48,104.31,5007.05,24.4,10,0,Bank,No
C00238,23,South,Basic,32,98.88,3164.12,45.1,14,0,Bank,No
C00239,65,South,Plus,23,86.11,1980.42,91.8,14,2,Card,No
C00240,54,South,Basic,46,64.77,2979.51,49.0,14,3,Wallet,No
C00241,19,West,Basic,11,86.69,953.61,70.8,9,0,Bank,No
C00242,62,West,Plus,43,84.3,3624.88,46.6,16,1,Card,No
C00243,52,North,Premium,7,89.83,628.81,55.5,14,2,Wallet,No
C00244,53,East,Basic,47,140.16,6587.67,44.0,13,0,Card,No
C00245,67,South,Plus,46,71.91,3307.66,41.9,17,0,Wallet,No
C00246,46,North,Basic,7,95.56,668.9,31.0,10,2,Card,No
C00247,44,West,Basic,55,111.71,6144.14,52.7,6,3,Bank,No
C00248,53,North,Plus,30,87.45,2623.5,29.7,6,2,Bank,No
C00249,29,North,Basic,57,143.45,8176.43,57.0,15,0,Wallet,No
C00250,26,North,Basic,3,75.55,226.65,64.5,18,2,Card,Yes
C00251,66,South,Plus,13,93.1,1210.33,51.6,17,2,Wallet,No
C00252,30,East,Basic,36,65.03,2341.07,39.8,12,1,Bank,No
C00253,46,South,Basic,14,76.21,1066.97,53.2,9,0,Card,No
C00254,33,North,Basic,24,91.22,2189.36,39.4,8,2,Bank,No
C00255,31,North,Premium,48,106.16,5095.56,61.8,11,1,Wallet,No
C00256,52,West,Plus,11,92.98,1022.75,12.0,14,0,Bank,No
C00257,63,West,Basic,49,116.48,5707.42,39.0,10,1,Card,No
C00258,43,West,Basic,8,82.63,661.01,9.2,9,1,Bank,No
C00259,25,East,Plus,13,76.7,997.05,18.1,10,1,Bank,No
C00260,31,East,Basic,43,152.6,6561.78,69.5,12,1,Card,No
C00261,27,West,Plus,58,94.86,5501.64,61.1,10,1,Card,No
C00262,68,East,Plus,13,67.01,871.17,32.0,12,0,Wallet,No
C00263,36,South,Basic,22,67.64,1488.15,18.0,12,0,Card,No
C00264,39,South,Basic,67,61.43,4116.01,1.0,19,0,Bank,No
C00265,22,South,Basic,72,108.41,7805.82,35.2,17,1,Wallet,Yes
C00266,43,North,Basic,42,75.89,3187.4,88.6,13,4,Card,No
C00267,70,North,Basic,33,88.18,2910.07,52.8,10,3,Bank,No
C00268,41,East,Premium,25,83.41,2085.31,34.9,9,1,Card,No
C00269,55,West,Basic,45,103.29,4647.93,53.4,11,3,Wallet,No
C00270,28,North,Plus,43,63.83,2744.75,16.9,9,1,Bank,No
C00271,26,North,Plus,22,58.11,1278.44,39.6,5,1,Wallet,No
C00272,59,North,Basic,2,90.61,181.21,46.8,14,2,Wallet,No
C00273,21,West,Basic,11,100.02,1100.26,43.5,9,0,Bank,No
C00274,43,South,Basic,70,93.31,6531.93,59.2,9,1,Card,No
C00275,36,South,Plus,31,64.76,2007.67,51.2,12,3,Bank,No
C00276,18,North,Basic,35,101.94,3567.8,57.0,15,1,Card,No
C00277,48,West,Plus,34,66.4,2257.72,32.6,7,2,Bank,No
C00278,72,South,Premium,57,71.96,4101.81,61.2,7,2,Card,No
C00279,21,West,Plus,5,61.4,307.01,74.3,8,6,Wallet,Yes
C00280,64,East,Premium,6,117.53,705.17,27.5,18,2,Bank,Yes
C00281,48,North,Plus,20,100.84,2016.71,29.0,6,4,Card,Yes
C00282,59,West,Premium,36,100.12,3604.49,69.0,11,1,Wallet,No
C00283,23,East,Premium,49,116.18,5692.83,41.6,10,1,Wallet,No
C00284,67,East,Plus,36,155.32,5591.38,70.3,9,0,Bank,No
C00285,18,North,Premium,32,42.27,1352.62,37.0,10,3,Card,No
C00286,69,West,Premium,68,66.54,4524.76,71.2,10,0,Bank,Yes
C00287,55,West,Plus,12,69.6,835.15,47.4,8,0,Bank,No
C00288,37,South,Plus,42,63.73,2676.64,49.6,7,0,Wallet,No
C00289,18,North,Plus,40,58.06,2322.42,73.2,10,1,Card,No
C00290,52,West,Premium,35,77.51,2712.8,38.5,11,3,Wallet,No
C00291,22,West,Basic,59,54.58,3220.51,28.1,14,0,Card,No
C00292,52,East,Premium,20,93.38,1867.52,36.9,9,0,Card,No
C00293,62,East,Plus,69,86.29,5954.18,53.1,16,0,Bank,No
C00294,33,North,Premium,24,97.03,2328.62,16.8,14,0,Card,No
C00295,31,North,Basic,40,97.69,3907.73,56.5,12,3,Bank,Yes
C00296,30,West,Plus,38,100.08,3802.86,35.3,11,0,Bank,No
C00297,30,South,Plus,62,75.66,4691.22,65.7,11,4,Card,No
C00298,24,South,Premium,32,138.03,4416.91,1.9,10,0,Wallet,Yes
C00299,32,East,Premium,21,90.86,1908.08,30.8,11,0,Card,No
C00300,55,North,Plus,2,38.44,76.88,14.6,10,2,Wallet,No
C00301,35,North,Plus,27,59.94,1618.4,30.1,9,2,Wallet,No
C00302,62,North,Basic,60,41.49,2489.25,49.5,17,1,Bank,No
C00303,64,South,Premium,1,85.43,85.43,41.8,8,2,Card,No
C00304,61,South,Basic,65,81.95,5327.07,40.4,13,1,Wallet,No
C00305,48,North,Plus,40,73.29,2931.57,42.1,8,1,Card,No
C00306,36,South,Plus,11,135.27,1488.0,48.7,12,0,Card,No
C00307,71,South,Basic,22,98.72,2171.94,26.8,13,1,Wallet,No
C00308,29,East,Basic,40,103.15,4126.1,57.7,10,1,Bank,Yes
C00309,44,East,Basic,23,61.72,1419.63,56.9,9,2,Wallet,No
C00310,43,West,Premium,8,60.02,480.17,51.9,11,1,Card,No
C00311,60,West,Plus,48,85.92,4124.17,55.0,18,1,Bank,No
C00312,49,South,Basic,49,89.33,4376.93,50.3,15,1,Wallet,No
C00313,63,West,Plus,9,38.59,347.33,81.6,4,3,Wallet,No
C00314,70,East,Basic,21,80.49,1690.34,43.4,13,0,Bank,No
C00315,40,North,Premium,18,85.35,1536.33,39.5,9,3,Wallet,Yes
C00316,67,South,Basic,48,79.62,3821.82,31.4,10,3,Card,No
C00317,27,East,Basic,53,64.67,3427.26,26.4,13,3,Bank,Yes
C00318,70,West,Basic,53,71.51,3790.12,22.6,7,2,Card,No
C00319,28,South,Plus,68,80.58,5479.34,29.0,12,2,Wallet,No
C00320,66,North,Plus,56,87.27,4887.12,43.7,12,1,Wallet,No
C00321,40,North,Plus,24,100.12,2402.87,51.0,18,0,Wallet,Yes
C00322,72,North,Plus,8,112.02,896.17,45.9,12,3,Wallet,No
C00323,25,East,Basic,45,77.64,3493.86,31.2,9,0,Card,No
C00324,44,East,Basic,66,73.6,4857.34,61.2,13,1,Bank,No
C00325,69,South,Basic,71,95.94,6811.84,58.3,14,0,Wallet,No
C00326,20,East,Premium,17,100.27,1704.61,42.1,11,1,Card,No
C00327,33,West,Basic,18,74.14,1334.61,33.2,11,3,Bank,No
C00328,22,West,Premium,3,104.76,314.28,54.9,6,1,Wallet,No
C00329,36,North,Basic,11,109.49,1204.39,48.4,6,0,Bank,No
C00330,40,East,Basic,40,117.29,4691.69,18.9,14,1,Wallet,Yes
C00331,53,West,Basic,40,129.46,5178.32,43.8,17,0,Bank,No
C00332,32,West,Basic,27,63.34,1710.17,49.7,15,2,Bank,Yes
C00333,27,South,Plus,23,85.35,1962.99,28.8,14,3,Bank,No
C00334,27,South,Plus,60,85.28,5116.92,48.4,20,2,Bank,No
C00335,71,West,Basic,34,82.55,2806.64,18.8,8,1,Wallet,No
C00336,72,North,Plus,59,68.77,4057.34,69.1,12,1,Wallet,No
C00337,30,East,Plus,70,47.86,3350.27,67.5,15,0,Card,No
C00338,29,North,Premium,23,87.32,2008.29,40.5,9,1,Wallet,No
C00339,21,West,Premium,15,65.79,986.87,51.5,12,1,Bank,No
C00340,72,North,Plus,69,87.15,6013.34,1.6,14,1,Bank,No
C00341,58,North,Premium,46,65.15,2996.85,24.2,13,1,Card,Yes
C00342,61,South,Plus,21,57.51,1207.68,39.7,13,3,Bank,No
C00343,34,North,Plus,45,90.86,4088.59,25.7,14,6,Bank,Yes
C00344,54,South,Plus,38,88.77,3373.38,57.9,19,0,Bank,No
C00345,21,South,Basic,66,99.48,6565.82,81.0,12,0,Card,No
C00346,56,South,Plus,19,139.65,2653.29,23.8,12,1,Wallet,No
C00347,51,East,Premium,72,91.93,6619.12,29.9,9,1,Bank,No
C00348,36,East,Basic,68,97.13,6604.64,49.2,14,2,Bank,No
C00349,58,West,Premium,14,58.06,812.85,74.0,11,0,Card,No
C00350,54,South,Premium,12,52.83,633.93,23.0,11,5,Card,No
C00351,43,East,Basic,39,124.57,4858.26,49.5,18,1,Wallet,No
C00352,28,East,Plus,4,61.91,247.65,77.8,10,2,Card,No
C00353,19,North,Premium,22,58.9,1295.83,15.3,15,1,Wallet,No
C00354,71,East,Premium,32,84.02,2688.72,21.9,16,0,Wallet,No
C00355,34,West,Basic,70,82.75,5792.16,37.4,11,0,Bank,No
C00356,35,South,Basic,72,62.44,4495.49,35.6,11,0,Wallet,No
C00357,56,North,Plus,11,77.38,851.13,59.6,10,3,Bank,No
C00358,32,South,Basic,65,115.73,7522.74,49.3,14,0,Wallet,No
C00359,39,South,Basic,7,64.85,453.95,13.1,15,0,Card,Yes
C00360,58,East,Basic,54,50.16,2708.54,54.3,14,1,Bank,No
C00361,51,West,Basic,61,108.56,6622.46,34.6,7,1,Bank,No
C00362,55,East,Plus,65,97.31,6324.98,67.9,20,2,Wallet,No
C00363,18,North,Plus,17,69.49,1181.28,33.7,13,1,Card,No
C00364,43,South,Plus,65,45.45,2953.98,33.5,9,0,Wallet,No
C00365,45,East,Plus,9,66.38,597.46,54.7,17,1,Card,No
C00366,54,South,Basic,38,83.63,3178.03,58.7,15,0,Card,No
C00367,26,East,Basic,34,114.14,3880.82,53.1,7,2,Bank,No
C00368,27,East,Basic,23,59.09,1358.97,14.7,9,1,Card,No
C00369,61,South,Basic,2,82.89,165.77,54.7,13,0,Bank,No
C00370,56,East,Basic,56,101.88,5705.2,26.4,9,2,Wallet,Yes
C00371,64,South,Basic,25,25.47,636.71,49.2,13,0,Wallet,No
C00372,33,North,Basic,48,110.84,5320.54,19.4,13,2,Card,Yes
C00373,74,South,Basic,30,55.44,1663.16,53.0,14,2,Bank,No
C00374,33,South,Plus,27,93.3,2519.1,30.5,10,0,Bank,No
